epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36686,3.1697,3.90254,4.1819,0.00685,0.5,0.0473,0.02189,3.19808,3.50077,4.16091,0.00018337,0.00018337,0.00018337
2,7.69095,3.19725,3.04612,4.03616,0.00667,0.5,0.14473,0.05095,3.13825,3.47414,4.13344,0.000375818,0.000375818,0.000375818
3,11.1832,3.02962,2.28898,3.71878,0.00637,0.5,0.18482,0.06157,3.09795,3.51707,4.11182,0.000560345,0.000560345,0.000560345
4,14.5572,2.47788,1.91321,3.25243,0.0065,0.5,0.18015,0.06579,3.15914,3.55865,4.17461,0.000736951,0.000736951,0.000736951
5,17.8347,1.95997,1.55193,2.70653,0.00648,0.5,0.19839,0.06461,3.22351,3.61357,4.23472,0.000905634,0.000905634,0.000905634
6,21.116,1.75036,1.38775,2.43463,0.00966,0.5,0.18004,0.06612,3.13731,3.70137,4.2129,0.0010664,0.0010664,0.0010664
7,24.3743,1.47943,1.22629,2.16218,1,0.16149,0.48127,0.35775,2.59025,2.939,3.75173,0.00121924,0.00121924,0.00121924
8,27.7953,1.395,1.1517,2.03133,0.99857,0.5,0.50973,0.33296,2.0776,1.53711,2.48004,0.00136416,0.00136416,0.00136416
9,31.1054,1.32331,1.07046,1.9231,0.99956,0.5,0.49834,0.41344,1.92775,1.58454,2.22064,0.00140295,0.00140295,0.00140295
10,34.4467,1.21751,1.01373,1.81222,0.99963,0.5,0.56825,0.39213,1.71127,1.26317,2.12104,0.00136994,0.00136994,0.00136994
11,37.7349,1.18692,0.96046,1.76625,0.90653,0.57759,0.63164,0.46802,1.27294,1.05574,1.72085,0.00133693,0.00133693,0.00133693
12,41.0148,1.14907,0.92224,1.70879,0.91272,0.57759,0.62637,0.48867,1.07086,1.17289,1.58269,0.00130393,0.00130393,0.00130393
13,44.2778,1.12397,0.89425,1.66923,0.72388,0.69696,0.71554,0.54774,0.91134,0.99439,1.39147,0.00127092,0.00127092,0.00127092
14,47.6544,1.04138,0.80425,1.58115,0.65989,0.66379,0.68823,0.50974,0.83887,0.88497,1.34724,0.00123791,0.00123791,0.00123791
15,50.9043,0.95894,0.75674,1.50785,0.75422,0.6459,0.6918,0.46721,1.20047,1.10399,1.62021,0.00120491,0.00120491,0.00120491
16,54.1519,0.98229,0.77434,1.50909,0.75682,0.86207,0.87674,0.59043,0.92207,0.78471,1.35979,0.0011719,0.0011719,0.0011719
17,57.4215,0.92143,0.72046,1.46746,0.55106,0.62069,0.53712,0.4582,1.00003,1.05956,1.48716,0.00113889,0.00113889,0.00113889
18,60.6752,0.91584,0.70781,1.44058,0.84987,0.77349,0.88426,0.62435,0.90908,0.77006,1.37102,0.00110589,0.00110589,0.00110589
19,63.9652,0.94127,0.68547,1.44831,0.96903,0.83621,0.91811,0.66813,0.91876,0.63594,1.36681,0.00107288,0.00107288,0.00107288
20,67.3296,1.04504,0.76194,1.51394,0.54635,0.80172,0.90316,0.60211,0.95784,1.03841,1.41969,0.00103987,0.00103987,0.00103987
21,70.5904,0.96181,0.69591,1.45314,0.87469,0.89655,0.9419,0.67381,0.78683,0.60422,1.22851,0.00100687,0.00100687,0.00100687
22,73.9995,0.88504,0.65947,1.39079,0.92349,0.82759,0.93607,0.70765,0.68355,0.62556,1.20699,0.000973861,0.000973861,0.000973861
23,77.4823,0.84904,0.62444,1.36089,0.97648,0.94828,0.99069,0.73588,0.72673,0.57334,1.23259,0.000940855,0.000940855,0.000940855
24,80.8798,0.83557,0.60828,1.34986,0.95527,0.85093,0.94394,0.64954,0.86807,0.67527,1.3198,0.000907848,0.000907848,0.000907848
25,84.1862,0.82532,0.60603,1.33802,0.97069,0.84541,0.95451,0.69886,0.69539,0.5689,1.19351,0.000874842,0.000874842,0.000874842
26,87.7153,0.79366,0.58209,1.31154,0.96091,0.93966,0.96835,0.68,0.77984,0.59114,1.28004,0.000841835,0.000841835,0.000841835
27,91.1107,0.77968,0.55989,1.31059,0.99521,0.96552,0.9939,0.73447,0.69041,0.4983,1.17849,0.000808828,0.000808828,0.000808828
28,94.5144,0.77173,0.55804,1.2976,0.98761,0.97414,0.99449,0.76476,0.6512,0.47887,1.17288,0.000775822,0.000775822,0.000775822
29,97.9333,0.7687,0.55769,1.30312,0.97029,0.99804,0.99327,0.74285,0.77529,0.5088,1.28429,0.000742815,0.000742815,0.000742815
30,101.387,0.74542,0.53194,1.28305,0.99452,0.9933,0.995,0.7541,0.70751,0.48909,1.19301,0.000709809,0.000709809,0.000709809
31,104.653,0.74536,0.524,1.28096,0.994,1,0.995,0.75813,0.66403,0.44521,1.15799,0.000676802,0.000676802,0.000676802
32,108.057,0.7232,0.51397,1.24319,0.99372,1,0.995,0.75428,0.628,0.41937,1.13101,0.000643795,0.000643795,0.000643795
33,111.316,0.70832,0.50266,1.25471,0.98069,0.99138,0.99406,0.77324,0.67909,0.47513,1.18719,0.000610789,0.000610789,0.000610789
34,114.59,0.72129,0.51093,1.24125,0.98013,0.98938,0.99178,0.77463,0.65101,0.4381,1.15421,0.000577782,0.000577782,0.000577782
35,117.837,0.71131,0.50203,1.25002,0.99539,1,0.995,0.77733,0.63758,0.37758,1.143,0.000544776,0.000544776,0.000544776
36,121.093,0.69296,0.486,1.23231,0.98691,1,0.995,0.7746,0.62237,0.4022,1.15606,0.000511769,0.000511769,0.000511769
37,124.39,0.69541,0.48305,1.22557,0.93873,0.77586,0.85578,0.65616,0.72153,0.64868,1.23115,0.000478762,0.000478762,0.000478762
38,127.807,0.68155,0.47542,1.21801,0.99225,1,0.995,0.78219,0.65437,0.42065,1.16061,0.000445756,0.000445756,0.000445756
39,131.115,0.68253,0.47802,1.20585,0.99756,0.99116,0.99492,0.77831,0.65468,0.40204,1.16852,0.000412749,0.000412749,0.000412749
40,134.468,0.66258,0.46071,1.19633,0.99251,1,0.995,0.78922,0.60989,0.39502,1.12177,0.000379743,0.000379743,0.000379743
41,161.744,0.65613,0.50645,1.18893,0.98804,0.94977,0.98793,0.75645,0.69317,0.4508,1.18039,0.000346736,0.000346736,0.000346736
42,165.063,0.57601,0.41389,1.1251,0.99561,1,0.995,0.80097,0.60688,0.36802,1.11521,0.000313729,0.000313729,0.000313729
43,168.41,0.56075,0.40183,1.11579,0.99666,1,0.995,0.82799,0.58477,0.35751,1.09053,0.000280723,0.000280723,0.000280723
44,171.761,0.54881,0.38897,1.10718,0.997,1,0.995,0.82378,0.59156,0.36619,1.10348,0.000247716,0.000247716,0.000247716
45,175.024,0.5413,0.37952,1.11039,0.99621,1,0.995,0.83126,0.54576,0.3506,1.07487,0.00021471,0.00021471,0.00021471
46,178.275,0.53692,0.3713,1.10486,0.99688,1,0.995,0.81659,0.57095,0.34748,1.09514,0.000181703,0.000181703,0.000181703
47,181.533,0.5182,0.36148,1.07143,0.99735,1,0.995,0.83401,0.53875,0.33609,1.0629,0.000148696,0.000148696,0.000148696
48,184.777,0.5116,0.35263,1.0889,0.99748,1,0.995,0.82608,0.53062,0.32837,1.06513,0.00011569,0.00011569,0.00011569
49,188.018,0.49994,0.34981,1.07343,0.99651,1,0.995,0.81612,0.55438,0.33339,1.07773,8.26832e-05,8.26832e-05,8.26832e-05
50,191.474,0.49324,0.34389,1.06736,0.99763,1,0.995,0.83363,0.52614,0.32144,1.06322,4.96766e-05,4.96766e-05,4.96766e-05
